epoch,batch_idx,computetime,computetime_ms,log_time
_,135,null,341.3791809082031,307.0642991065979
1,135,null,341.3791809082031,307.06432604789734
_,136,null,340.93463134765625,307.4068636894226
1,136,null,340.93463134765625,307.4068901538849
_,137,null,340.83843994140625,307.7491898536682
1,137,null,340.83843994140625,307.74921703338623
_,138,null,340.8670654296875,308.0913860797882
1,138,null,340.8670654296875,308.0914258956909
_,139,null,341.96173095703125,308.4350423812866
1,139,null,341.96173095703125,308.43506932258606
_,140,null,341.496826171875,308.7780649662018
1,140,null,341.496826171875,308.77810740470886
_,141,null,340.8251953125,309.1202037334442
1,141,null,340.8251953125,309.1202311515808
_,142,null,340.9715270996094,309.4623899459839
1,142,null,340.9715270996094,309.4624173641205
_,143,null,342.3211669921875,309.80610823631287
1,143,null,342.3211669921875,309.80613589286804
_,144,null,341.0616455078125,310.1483371257782
1,144,null,341.0616455078125,310.1483647823334
_,145,null,340.1164855957031,310.49003076553345
1,145,null,340.1164855957031,310.4900584220886
_,146,null,342.3101501464844,310.8338465690613
1,146,null,342.3101501464844,310.83387422561646
_,147,null,341.1537780761719,311.17617201805115
1,147,null,341.1537780761719,311.176198720932
_,148,null,340.82098388671875,311.5185270309448
1,148,null,340.82098388671875,311.5185537338257
_,149,null,340.9356689453125,311.8606827259064
1,149,null,340.9356689453125,311.86070942878723
_,150,null,342.1920471191406,312.20408177375793
1,150,null,342.1920471191406,312.20410895347595
_,151,null,340.1953430175781,312.5456988811493
1,151,null,340.1953430175781,312.54572677612305
_,152,null,340.7677307128906,312.8877079486847
1,152,null,340.7677307128906,312.8877418041229
_,153,null,341.9425354003906,313.23134684562683
1,153,null,341.9425354003906,313.23137497901917
_,154,null,340.305908203125,313.5730314254761
1,154,null,340.305908203125,313.5730586051941
_,155,null,340.7308654785156,313.91500997543335
1,155,null,340.7308654785156,313.91503834724426
_,156,null,343.077880859375,314.25970244407654
1,156,null,343.077880859375,314.25972986221313
_,157,null,341.0185546875,314.60210847854614
1,157,null,341.0185546875,314.6021363735199
